,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24
s0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,9,0,0,0,0
s2,0,14,0,17,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,17,0,0,13
s3,0,0,0,0,0,0,0,0,0,1,53,0,0,0,9,0,0,0,0,0,0,0,0,16,0
s4,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,0,0,0,0,0,22,0,0,0,0
s5,0,13,0,34,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,4,0,0,13
s6,0,0,0,19,0,0,0,0,0,4,0,0,0,0,1,0,0,7,0,0,0,6,0,0,16
s7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,6,47,0,0
s8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,25,0,0,0,0
s9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,7,0,12,58,0,0
s11,6,0,0,0,37,0,0,0,0,0,43,0,0,0,6,0,0,0,0,0,0,0,0,12,0
s12,0,0,11,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,13,0,1,3,0,1,0
s13,0,0,0,15,0,0,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0
s14,0,0,0,35,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,1,0,21,0,0,13
s15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
s17,0,3,0,20,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,9,0,0,11
s18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
s20,0,0,0,0,0,0,0,0,0,45,0,0,0,0,7,0,6,0,0,22,0,7,0,0,0
s21,22,0,0,0,0,0,0,0,1,0,0,0,0,0,3,6,15,0,0,14,0,7,0,0,0
s22,0,0,0,0,0,0,0,0,0,0,0,0,6,31,14,0,0,0,0,0,27,0,0,0,0
s23,12,0,0,0,0,2,0,0,0,0,0,12,0,0,6,10,8,0,0,16,0,14,0,0,0
s24,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
